Community Name,Street Address,City,State,Zip,Phone,Administrator,Owner Company,Owner Street Address,Owner City,Owner State,Owner Zip,Owner Phone,Facility License Number,Status,Number of Beds,Date of Last Survey,Date of Original Licensure,Date of Expiration,Disciplinary Actions
ASSISTED LIVING AT TREZEVANT,177 N. HIGHLAND AVENUE,Memphis,TN,38111,Julie Repking,901-746-1800,TREZEVANT EPISCOPAL HOME,177 N. HIGHLAND AVENUE,Memphis,TN,38111,901-325-4000,00000034,Licensed,0151,01/24/2019,07/17/1998,05/11/2020,No Disciplinary Actions
Athens Place,120 KEITH LANE,Athens,TN,37303,Ashley Wanda Willis,423-744-7272,Athens BG OPCO LLC,330 N. Wabash Avenue SUITE 3700,Chicago,IL,60611,312-725-7000,00000149,Licensed,0060,01/30/2019,10/08/1998,11/20/2019,No Disciplinary Actions
ATRIA WESTON PLACE,2900 LAKE BROOK BLVD,Knoxville,TN,37909,Amelia Keesee,865-584-9857,"WG WESTON PLACE SH, LLC",500 N. HURSTBOURNE PARKWAY SUITE 200,Louisville,KY,40222,502-357-9000,00000100,Licensed,0102,12/13/2018,11/20/1998,05/12/2020,No Disciplinary Actions
"AUSTIN HEWITT HOUSE, LLC",322 EAST WASHINGTON STREET,Pulaski,TN,38478,LaWanda L. Slager,931-363-2222,AUSTIN HEWITT HOUSE LLC,322 E. WASHINGTON STREET,Pulaski,TN,38478,931-363-2222,00000108,Licensed,0054,10/30/2018,11/10/1998,09/01/2020,No Disciplinary Actions
AUTUMN CARE,3222 BYINGTON BEAVER RIDGE ROAD,Knoxville,TN,37931,Peter D. Falk,865-692-2273,"AUTUMN CARE, LLC",3222 Byington Beaver Ridge Road,Knoxville,TN,37922,865-680-3009,00000310,Licensed,0036,04/03/2019,11/30/2009,05/14/2020,No Disciplinary Actions
"AUTUMN CARE II, LLC",136 CANTON HOLLOW ROAD,Knoxville,TN,37922,Pete D. Falk,865-392-1300,"AUTUMN CARE II, LLC",136 Canton Hollow Road,Knoxville,TN,37922,865-392-1300,00000382,Licensed,0056,09/27/2018,05/03/2013,05/03/2020,No Disciplinary Actions
"AUTUMN CARE III, LLC",400 HERRON ROAD,Farragut,TN,37984,Carol Huddleston,865-392-1811,"Autumn Care III, LLC",9122 Linksvue Drive,Knoxville,TN,37922,865-680-3009,00000459,Licensed,0077,06/22/2018,06/27/2018,06/26/2020,No Disciplinary Actions
AUTUMN OAKS,1621 MCMINNVILLE HIGHWAY,Manchester,TN,37355-3179,Tina Taylor,931-728-0200,"MANCHESTER RESIDENTIAL, LLC",1621 MCMINNVILLE HIGHWAY,Manchester,TN,37355,931-728-0200,00000113,Licensed,0049,01/08/2019,06/07/1999,02/15/2020,No Disciplinary Actions
AVE MARIA HOME ASSISTED LIVING,2805 CHARLES BRYAN ROAD,Bartlett,TN,38134,Rebecca Black Lewis,901-386-3211,AVE MARIA HOME,2805 CHARLES BRYAN ROAD,Bartlett,TN,38134,901-386-3211,00000056,Licensed,0101,05/06/2019,03/02/2000,09/01/2020,No Disciplinary Actions
AVENIR MEMORY CARE AT KNOXVILLE,901 CONCORD ROAD,Farragut,TN,37934,Laurah Meade Branam,865-777-1500,AVENIR MEMORY CARE AT KNOXVILLE LP,11648 E. SHEA BLVD. SUITE 101,Scottsdale,AZ,85259,480-451-8200,00000348,Licensed,0062,11/14/2018,04/30/2013,04/30/2020,No Disciplinary Actions
Azalea Court,207 Commerce Drive,Smyrna,TN,37167,Dani Brashear,615-355-9900,"SMYRNA RESIDENTIAL, LLC",207 COMMERCE DRIVE,Smyrna,TN,37167,615-355-9900,00000083,Licensed,0062,02/20/2019,09/11/1998,09/25/2020,No Disciplinary Actions
AZALEA TRACE ASSISTED LIVING,4107 GALLATIN ROAD,Nashville,TN,37216,Christy Cho,615-739-5355,GRACE HOME CARE INC.,4107 GALLATIN ROAD,Nashville,TN,37216,615-739-5355,00000390,Licensed,0065,06/18/2019,04/04/2013,04/04/2020,No Disciplinary Actions
BAILEY MANOR,113 MEDICAL CENTER BLVD,Fayetteville,TN,37334,Jennifer Floied,931-438-9035,"FAMILY FIRST OPERATING, LLC",1707 MCMINNVILLE HIGHWAY,Manchester,TN,37355,615-480-4508,00000261,Licensed,0024,09/26/2018,06/20/2005,08/31/2020,No Disciplinary Actions
BAILEY MANOR,300 HOSPITAL ROAD,Winchester,TN,37398,Holly Baltimore,931-962-3014,"FAMILY FIRST OPERATING, LLC",1707 MCMINNVILLE HIGHWAY,Manchester,TN,37355,931-728-9033,00000262,Licensed,0024,04/24/2019,10/24/2005,05/04/2020,No Disciplinary Actions
BAILEY MANOR,1707 MCMINNVILLE HIGHWAY,Manchester,TN,37355,CANDANCE RANEY,931-728-9045,"FAMILY FIRST OPERATING, LLC",1707 MCMINNVILLE HIGHWAY,Manchester,TN,37355,931-728-9045,00000268,Licensed,0024,08/14/2018,03/16/2006,05/29/2020,No Disciplinary Actions
BAILEY MANOR,580 East Veteran's Boulevard,Cookeville,TN,38501,Audrie Marie Nicholson,615-400-0093,Family First Operating LLC,1707 MCMINNVILLE HIGHWAY,Manchester,TN,37355,931-728-9033,00000465,Licensed,0028,09/17/2018,08/08/2017,08/07/2020,No Disciplinary Actions
BARTON HOUSE,6961 U.S. HIGHWAY 70 SOUTH,Nashville,TN,37221,ELIZABETH MASIC,615-673-6922,"BELLEVUE SENIOR LIVING, LLC",6961 US HWY 70 SOUTH,Nashville,TN,37221,615-673-6922,00000175,Licensed,0044,12/12/2018,10/03/2000,06/09/2020,No Disciplinary Actions
BEEHIVE HOMES OF POWELL,1301 West Beaver Creek Drive,Powell,TN,37849,Kelly A. Lohman,865-809-2881,"Hollybrook Care, Inc.",7815 BISHOP ROAD,Knoxville,TN,37938,865-809-2881,00000457,Licensed,0016,04/26/2019,05/18/2018,05/17/2020,No Disciplinary Actions
"BELLS ASSISTED CARE LIVING, LLC",276 HERNDON DRIVE,Bells,TN,38006,VICKIE H. NORRID,731-663-3380,"BELLS ASSISTED CARE LIVING, LLC",276 HERNDON DRIVE,Bells,TN,38006,731-669-3380,00000057,Licensed,0020,03/06/2019,04/01/1999,04/23/2020,No Disciplinary Actions
"BELLWOOD ASSISTED LIVING, LLC",3190 CARTHAGE HIGHWAY,Lebanon,TN,37087,Jersey Lopez O'Connell,615-453-4010,"Pembroke Holdings, LLC",150 Public Square,Lebanon,TN,37087,615-444-7222,00000230,Licensed,0040,08/28/2019,07/01/2001,06/09/2020,No Disciplinary Actions
BELMONT VILLAGE,4206 STAMMER PLACE,Nashville,TN,37215,Joel Timothy McConnell,615-279-9100,"BELMONT VILLAGE GREEN HILLS TENANT, LLC",4500 DORR STREET,Toledo,OH,43615-4040,419-247-2800,00000059,Licensed,0160,02/21/2019,09/22/1999,05/15/2020,No Disciplinary Actions
BELMONT VILLAGE,6605 QUAIL HOLLOW ROAD,Memphis,TN,38120,STEPHANIE CRUMP,901-624-8820,"BELMONT VILLAGE MEMPHIS TENANT, LLC",4500 DORR STREET,Toledo,OH,43615-404,419-247-2800,00000102,Licensed,0120,04/15/2019,12/30/1999,05/11/2020,No Disciplinary Actions
BELVEDERE COMMONS OF FRANKLIN,303 SOUTH ROYAL OAKS BLVD,Franklin,TN,37064,David Harry Slaten,615-599-7701,FKP FRANKLIN SENIOR LIVING TENANT LLC,6900 Wedewood Road N. #300,Minneapolis,MN,55311,763-544-9934,00000157,Licensed,0099,09/10/2018,03/28/2000,06/16/2020,No Disciplinary Actions
BOYD COTTAGES ASSISTED LIVING,210 FAIRLANE DRIVE,Waynesboro,TN,38485,Regina Rick Skelton,931-722-2000,WAYNE COUNTY GOVERNMENT,100 Court Circle,Waynesboro,TN,38485,931-722-3653,00000227,Licensed,0034,11/20/2018,07/01/2002,05/09/2020,No Disciplinary Actions
Brighton Gardens of Brentwood,103 ARCARO PLACE,Brentwood,TN,37027,Dwight Justin Ladd,615-376-5299,"PRIME CARE ONE, LLC",1041 N. MERIDIAN STREET SUITE 122,Indianapolis,IN,46290,317-630-3156,00000103,Licensed,0125,05/31/2018,11/09/1998,05/12/2020,No Disciplinary Actions
BRISTOL TERRACE ASSISTED LIVING,2733 MCCAMPBELL AVENUE,Nashville,TN,37214,Jacqueline S. Thibault,615-679-0540,BRISTOL TERRACE MANAGEMENT LLC,2733 MCCAMPBELL AVENUE,Nashville,TN,37214,615-679-0540,00000448,Licensed,0115,12/11/2018,01/09/2018,01/08/2020,No Disciplinary Actions
BROOKDALE BELLE MEADE,6767 BROOKMONT TERRACE,Nashville,TN,37205,Michael Evan Davis,615-353-1990,"HOMEWOOD AT BROOKMONT TERRACE, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000199,Licensed,0184,06/20/2018,05/05/2000,12/28/2019,No Disciplinary Actions
BROOKDALE BROWNS CREEK,1869 CREST ROAD,Maryville,TN,37804-4304,Alexis Resides,865-984-3030,"BLC - WELLINGTON - MARYVILLE, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000095,Licensed,0052,07/11/2019,10/09/1998,05/05/2020,No Disciplinary Actions
BROOKDALE CLARKSVILLE,2183 MEMORIAL DRIVE,Clarksville,TN,37043,Erika Gibson,931-645-6945,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000047,Licensed,0054,02/28/2019,08/06/1998,05/10/2020,No Disciplinary Actions
BROOKDALE CLEVELAND,"2745 EXECUTIVE PARK, NW",Cleveland,TN,37312,Angela Stiltner,423-479-8899,"BLC-WELLINGTON-CLEVELAND, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000326,Licensed,0060,09/06/2018,07/01/2009,05/12/2020,No Disciplinary Actions
BROOKDALE COLONIAL HEIGHTS,400 PROFESSIONAL PARK DR,Kingsport,TN,37663,SPRING MELODY WEAVER-THOMPSON,423-239-0022,"BLC WELLINGTON - COLONIAL HEIGHTS, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000148,Licensed,0060,07/25/2018,10/29/1998,04/27/2020,No Disciplinary Actions
BROOKDALE COLUMBIA,5011 TROTWOOD AVENUE,Columbia,TN,38401,Jennifer Massey,931-380-1000,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000139,Licensed,0055,11/20/2018,03/19/1999,05/12/2020,No Disciplinary Actions
BROOKDALE DOGWOOD CREEK,8199 POPLAR AVENUE,Germantown,TN,38138,Dominique Regine Talley,901-313-0303,"S-H OpCo Germantown, LLC",6737 W. Washington Street SUITE 2300,Milwaukee,WI,53214,414-918-5000,00000352,Licensed,0060,04/30/2019,07/10/2013,07/10/2020,No Disciplinary Actions
BROOKDALE GALLATIN,400 HANCOCK ROAD,Gallatin,TN,37066,Lisa Marie Spurlock,615-451-7722,EMERITUS CORPORATION,111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000140,Licensed,0074,02/20/2019,12/04/1998,05/28/2020,No Disciplinary Actions
BROOKDALE GERMANTOWN,7701 POPLAR AVENUE,Germantown,TN,38138,Dominique Regine Talley,901-752-8444,"BLC SOUTHERLAND PLACE - GERMANTOWN, LLC",111 WESTWOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000073,Licensed,0054,12/04/2018,02/04/1999,04/02/2020,No Disciplinary Actions
BROOKDALE GOODLETTSVILLE,2025 CALDWELL DRIVE,Goodlettsville,TN,37072,Kevin Butler,615-859-2889,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000086,Licensed,0055,08/22/2018,09/25/1998,06/04/2020,No Disciplinary Actions
BROOKDALE GOODLETTSVILLE,3001 BUSINESS PARK CIRCLE,Goodlettsville,TN,37072,Kimbria Edmunds,615-855-2040,"KGC OPERATOR, INC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000178,Licensed,0040,04/11/2018,09/13/1999,05/11/2020,1 Disciplinary Action(s)
BROOKDALE GREEN HILLS CUMBERLAND,15 BURTON HILLS BLVD,Nashville,TN,37215,Mark Davis,615-463-9111,"BKD HCR MASTER LEASE 3 TENANT, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000294,Licensed,0149,11/06/2018,07/12/2007,06/04/2020,No Disciplinary Actions
BROOKDALE GREENEVILLE,155 SERRAL DRIVE,Greeneville,TN,37743,Amanda Kay Bridges,423-798-0404,"BLC WELLINGTON - GREENEVILLE TN, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000151,Licensed,0060,07/09/2019,07/01/1999,05/05/2020,1 Disciplinary Action(s)
BROOKDALE HIXSON,4515 HIXSON PIKE,Hixson,TN,37343,Angela Hampton,423-877-8771,"BLC WELLINGTON-HIXSON, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000327,Licensed,0050,09/12/2018,07/01/2009,01/04/2020,No Disciplinary Actions
BROOKDALE JACKSON OAKS,3131 N. HIGHLAND AVENUE,Jackson,TN,38305,James Clinton Hickerson,731-668-4180,"BLC JACKSON OAKS, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000328,Licensed,0049,01/09/2019,07/24/2009,05/11/2020,No Disciplinary Actions
BROOKDALE JOHNSON CITY,2003 WATER'S EDGE DRIVE,Johnson,"City,",TN,Richard Hann Jr.,423-915-0110,BLC WELLINGTON - JOHNSON CITY LLC,111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000154,Licensed,0060,06/06/2018,04/07/1999,06/08/2020,No Disciplinary Actions
BROOKDALE KINGSPORT,2424 JOHN B DENNIS HIGHWAY,Kingsport,TN,37660,Marjorie LeAnne McConnell,423-288-8600,EMERITUS CORPORATION,111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000094,Licensed,0070,08/15/2018,10/14/1998,10/15/2020,No Disciplinary Actions
BROOKDALE MOUNT VERNON DRIVE,1775 MT. VERNON DRIVE NW,Cleveland,TN,37311,Melanie Ann Wallace,423-473-7300,"BLC-WELLINGTON-GARDENS, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000242,Licensed,0040,02/26/2019,08/06/2002,11/08/2019,No Disciplinary Actions
BROOKDALE ROCK SPRINGS,640 ROCK SPRINGS ROAD,Kingsport,TN,37664,SHERRY KING,423-239-8803,EMERITUS CORPORATION,111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000017,Licensed,0070,07/24/2019,07/31/1998,07/07/2020,No Disciplinary Actions
BROOKDALE SANDY SPRINGS,511 PEARSON SPRINGS ROAD,Maryville,TN,37803,Amy May,865-681-1300,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000076,Licensed,0100,06/30/2019,09/04/1998,04/05/2020,No Disciplinary Actions
BROOKDALE SEVIERVILLE,1020 MIDDLE CREEK ROAD,Sevierville,TN,37862,AMY DIXON MILLER,865-774-2221,"BLC WELLINGTON - SEVIERVILLE, LLC",111 WESTWOOD PLACE SUITE 400,Brentwood,TN,37027,615-221-2250,00000188,Licensed,0070,11/28/2018,11/02/1999,05/12/2020,No Disciplinary Actions
BROOKDALE TULLAHOMA,801 WILSON AVENUE,Tullahoma,TN,37388,Robin Kathleen Lyle,931-455-2000,EMERITUS CORPORATION,111 Westwood Place SUITE 400,Brentwood,TN,37027,615-221-2250,00000016,Licensed,0076,11/08/2018,01/04/1999,11/01/2020,No Disciplinary Actions
BURTON COURT AT THE BLAKEFORD,11 BURTON HILLS BLVD,Nashville,TN,37215,LAKECIA HARPER,615-665-2742,BLAKEFORD AT GREEN HILLS,11 BURTON HILLS BLVD,Nashville,TN,37215,615-665-9505,00000029,Licensed,0078,07/09/2019,02/01/2019,07/07/1998,No Disciplinary Actions
CADENCE AT RIVERGATE,94 TWIN HILLS DRIVE,Madison,TN,37115,Cheri J. Cropper,615-855-1979,"FC TWIN HILLS OPCO, LLC",8501 NORTH SCOTTSDALE ROAD SUITE 255,Paradise,"Vly,",AZ,480-664-6500,00000066,Licensed,0113,02/12/2019,12/10/1999,06/21/2020,No Disciplinary Actions
CADES CENTER INC,82 WILL MCKNIGHT DRIVE,Jackson,TN,38301,Linda K. Burton,731-736-1246,CADES CENTER INC,82 WILL MCKNIGHT DRIVE,Jackson,TN,38301,731-736-1246,00000350,On Probation,0048,01/08/2019,11/18/2010,04/21/2020,1 Disciplinary Action(s)
CADES CENTER OF HUMBOLDT,1632 HIGHWAY 45 WEST BY-PASS N,Humboldt,TN,38343,Kristie Lamar Holland,731-784-7780,"CADES CENTER, INC",225 Westover Road,Huron,TN,38345,731-695-0893,00000397,Licensed,0048,03/12/2019,08/27/2014,08/27/2020,1 Disciplinary Action(s)
Canterfield of Franklin,7015 Moores Lane,Brentwood,TN,37027,Linda Cole,615-922-4521,"CANTERFIELD OF FRANKLIN, LLC",7015 Moores Lane,Brentwood,TN,37027,615-922-4521,00000449,Licensed,0099,07/10/2019,08/07/2018,08/06/2020,No Disciplinary Actions
CANTERFIELD OF OAK RIDGE,200 BUS TERMINAL ROAD,Oak,"Ridge,",TN,Kathy McCameron,865-425-9966,CANTERFIELD OF OAK RIDGE LLP,4488 N. Shallowford Road SUITE 103,Dunwoody,GA,30338,770-399-9988,00000399,Licensed,0096,08/07/2018,09/30/2013,09/30/2020,No Disciplinary Actions
CARRIAGE COURT OF MEMPHIS,1645 WEST MASSEY,Memphis,TN,38120,Lisa Taylor Bobal,901-763-3232,"WC-MEMPHIS OPS, LLC",303 EAST WACKER DRIVE SUITE 2400,Chicago,IL,60601,312-673-4333,00000061,On Probation,0125,05/01/2018,09/11/1998,05/12/2020,2 Disciplinary Action(s)
CARRIAGE HOUSE INN,311 COLLOREDO BLVD,Shelbyville,TN,37160,ALICIA SANDERS,931-684-1155,"CARRIAGE HOUSE INN PROPERTIES, LLC",875 N. MICHIGAN AVENUE SUITE 3640,Chicago,IL,60603,312-794-8416,00000260,Licensed,0049,08/01/2018,07/01/2004,04/06/2020,No Disciplinary Actions
CARRICK GLEN SENIOR LIVING,100 CARRICK COURT,Mount,"Juliet,",TN,Gail Salaun,615-622-0953,"CARRICK GLEN SENIOR LIVING, LLC",100 CARRICK COURT,Mount,"Juliet,",TN,615-622-0953,00000347,Licensed,0089,08/28/2019,06/27/2011,01/01/2020,1 Disciplinary Action(s)
"Carthage Assisted Living, LLC",130 Lebanon Highway,Carthage,TN,37030,Judy Markham,615-588-1040,"Carthage Assisted Living, LLC",680 Tennessee Blvd.,Lebanon,TN,37087,615-547-9099,00000405,Licensed,0074,11/13/2018,09/21/2015,09/20/2020,No Disciplinary Actions
CEDAR HILLS RETIREMENT CENTER,1250 CEDAR HILLS DRIVE,Cookeville,TN,38506,JENENE P. JONES,931-526-9108,"COOKEVILLE SENIOR LIVING, LLC",1250 Cedar Hills Drive,Cookeville,TN,38506,931-526-9108,00000082,Licensed,0055,09/11/2018,09/14/1998,06/09/2020,No Disciplinary Actions
CELEBRATION WAY,895 UNION STREET,Shelbyville,TN,37160,Cassie Davis,931-685-6900,"SHELBYVILLE RESIDENTIAL, LLC",895 UNION STREET,Shelbyville,TN,37160,931-685-6900,00000005,Licensed,0042,09/18/2018,05/27/1998,05/10/2020,No Disciplinary Actions
CHANDLER HOUSE,550 DEERVIEW WAY,Jefferson,"City,",TN,Shane Allen Jones,865-471-1400,"SNH SE TENANT TRS, INC","TWO NEWTON PLACE 255 WASHINGTON ST., STE 300",Newton,MA,02458,617-796-8350,00000185,Licensed,0064,12/12/2018,09/28/2000,04/30/2020,2 Disciplinary Action(s)
CHARTER SENIOR LIVING AT HERMITAGE,4131 ANDREW JACKSON PARKWAY,Hermitage,TN,37076,Wanda M. Palumbo,615-885-9989,"KJB TENANT HERMITAGE, LLC",1584 CHARLOTTE CIRCLE SUITE K,Naperville,IL,60564,331-472-2078,00000270,Licensed,0060,10/09/2018,10/03/2006,05/17/2020,No Disciplinary Actions
Clarendale at Indian Lake,195 Indian Lake Boulevard,Hendersonville,TN,37075,John Charles Rightmyer,615-826-9223,"HSRE INDIAN LAKE, LLC",400 LOCUST STREET Suite 820,Des,"Moines,",IA,515-875-4500,00000472,Licensed,0078,04/30/2019,05/09/2019,05/08/2020,No Disciplinary Actions
Clover Hill Senior Living,2317 HIGHWAY 411 SOUTH,Maryville,TN,37801,Fred S. Wheeler,865-238-5338,"DOMINION MARYVILLE, LLC",PO BOX 50123,Knoxville,TN,37950,865-225-6506,00000423,Licensed,0057,06/12/2019,02/10/2016,02/09/2020,No Disciplinary Actions
Commonwealth Senior Living at Oak Ridge,360 LABORATORY ROAD,Oak,"Ridge,",TN,Patti Jo Fitz,865-483-1314,Care GSL Oak Ridge Opco LP,211 WEST MAIN STREET SUITE 400,Carmel,IN,46032,212-446-1410,00000014,Licensed,0062,09/14/2016,09/08/1998,06/01/2020,No Disciplinary Actions
Cornerstone Village North Assisted Living,2012 SHERWOOD DRIVE,Johnson,"City,",TN,Nyda A. Bays,423-232-8200,"CHRISTIAN HOME FOR THE AGED, INC",309 PRINCETON ROAD,Johnson,"City,",TN,423-610-8500,00000263,Licensed,0024,07/25/2018,12/13/2005,05/08/2020,No Disciplinary Actions
Cornerstone Village South Assisted Living,213 UNIVERSITY PARKWAY,Johnson,"City,",TN,Deanna Barnett,423-232-5500,"CHRISTIAN HOME FOR THE AGED, INC",309 PRINCETON ROAD,Johnson,"City,",TN,423-610-8500,00000078,Licensed,0079,09/10/2018,09/04/1998,04/23/2020,No Disciplinary Actions
COUNTRY COTTAGE - LAWRENCEBURG,469 WEAKLEY CREEK ROAD,Lawrenceburg,TN,38464-3527,Dena C. Ferguson,931-766-0660,"COTTAGES LAWRENCEBURG, LLC",1355 LYNNFIELD ROAD SUITE 110,Memphis,TN,38119,901-531-7143,00000168,Licensed,0029,10/31/2018,02/22/1999,05/22/2020,No Disciplinary Actions
CREEKSIDE AT THREE RIVERS,2744 ASHERS FORK ROAD,Murfreesboro,TN,37128,Brent Wesley Brewer,615-895-3002,"CREEKSIDE AT THREE RIVERS, LLC",1610 S. CHURCH STREET SUITE C,Murfreesboro,TN,37130,615-895-8743,00000308,Licensed,0135,03/06/2019,07/09/2010,04/15/2020,1 Disciplinary Action(s)
CROWN CYPRESS,2424 EAST STONE DRIVE,Kingsport,TN,37660,Norma Kay Adkins,423-378-3100,"SANDGALA, LLC",58 PURDUE LAKE ROAD PO BOX 1573,Eastsound,WA,98245,308-883-3001,00000038,Licensed,0060,08/15/2018,07/24/1998,03/09/2020,1 Disciplinary Action(s)
CUMBERLAND RIDGE ASSISTED LIVING CENTER,458 WAYNE AVENUE,Crossville,TN,38555,"Barbara ""Barbie"" Neely",931-456-8688,CROSSVILLE ASSISTED LIVING ASSO. LLC,458 WAYNE AVENUE,Crossville,TN,38555,931-456-8688,00000172,Licensed,0040,07/25/2018,08/05/1999,06/03/2020,No Disciplinary Actions
David Jones Jr. Assisted Living Center,1204 SCHRADER ACRES DRIVE,Nashville,TN,37208,Evelyn Cook Walker,615-327-7928,"SCHRADER ACRES ASSISTED LIVING, INC",1204 SCHRADER ACRES DRIVE,Nashville,TN,37208,615-327-7928,00000259,Licensed,0034,08/13/2018,07/01/2004,04/13/2020,No Disciplinary Actions
